town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Gillingham,River Stour,43226,1.05,51.037252,0.288,-2.278768,Gillingham Le Neubourg Way
Kirklinton,Lyne,770302,2.4,54.986798,0.22,-2.920411,Cliff Bridge
Beddington,Wandle,4150TH,1.4,51.373583,0.065,-0.138986,Beddington Park
Boynton,River Gypsey Race,F3004,0.6,54.093099,0,-0.263772,Boynton
Cricklade,Thames,0190TH,0.883,51.646694,0.058,-1.865536,Cricklade
Sandling,Medway,E581,0.5,51.291026,0.093,0.511282,Allington Marina
Sheffield,Porter Brook,L0414,0.3,53.367798,0.008,-1.521432,Sheffield Oakbrook Road
West Drayton,Colne,2885TH,0.9,51.500923,0.389,-0.482762,West Drayton
Bampton Grange,River Lowther,761260,0.906,54.555577,0.277,-2.743431,Bampton Grange
Arlesey,Hiz,E22344,0.261,52.026751,0.13,-0.266941,Arlesey
Hovingham,Hovingham Beck,L2592,0.45,54.173347,0.044,-0.984145,Hovingham
Wigan,Douglas,700325,1.1,53.54925,0.094,-2.625999,Wigan
Bures,River Stour,E21856,1.43,51.972195,-0.002,0.774544,Bures Bridge
Mithian,Perrancombe Stream,48107,1.2,50.311991,0.149,-5.166154,Rose in Vale
Bruton,River Brue,52208,1.509,51.116056,0.27,-2.430837,Bruton Dam
Bishops Hull,Halsewater,52110,0.589,51.021033,0.197,-3.132608,Halsewater
North Middleton,Wooler Water,021030,1.2,55.516937,0.035,-2.004716,Coldgate Mill
Cheltenham,Hatherley Brook,2652,0.49,51.891766,0.13,-2.103713,Shelburne Road
Moreton,Birket,685513,1.188,53.411889,0.408,-3.088778,Davis Road
Finchley,Mutton Brook,3815TH,1.891,51.584844,0.799,-0.180888,Hampstead Suburb
Crowhurst,Cuckmere,E7050,5.6,50.878052,5.05,0.500069,Crowhurst
Kegworth,River Soar,4074,1.006,52.831898,0.412,-1.273539,Kegworth
Brigsley,Waithe Beck,E1013,0.6,53.496174,0.066,-0.11262,Brigsley
Bourn,Bourn Brook,E24805,0.496,52.192643,0.222,-0.064443,Bourn Brook
Keswick,Greta,750806,1.6,54.608017,0.39,-3.107571,Low Briery
Bidford on Avon,River Avon,2615,2.6,52.164097,0.955,-1.857348,Bidford on Avon
Wytham,Thames,1302TH,0.171,51.776669,0.05,-1.298428,Godstow Lock
Upwey,Wey,44113,0.26,50.665978,0,-2.480781,Upwey Culvert
Swallowfield,Blackwater,2469_w1TH,0.633,51.377564,0.189,-0.952526,Swallowfield
Alston,River South Tyne,023009,1.9,54.812531,0.155,-2.443415,Alston
Waltham Cross,Theobalds Brook,5322TH,0.9,51.691657,0.381,-0.027263,"Cheshunt, Trinity Lane"
Bamford,River Derwent,4037,3.2,53.335557,0.777,-1.683843,Mytham Bridge
Boultham,Lincoln Drainage Area,E2814,2.96,53.221702,0.115,-0.541127,Lincoln Monson Street
Bickington,River Lemon,46129,0.688,50.539272,0.381,-3.702255,Bickington
Northolt,Yeading Brook East,3629TH,0.5,51.548783,0.033,-0.397836,"Northholt, Yeading East"
St Breward,De Lank River,49129,0.692,50.558795,0.109,-4.637796,De Lank
Burrington,River Taw,50132,1.201,50.939901,0.207,-3.907581,Newnham Bridge
Thame,Thame,1961TH,2.373,51.753138,1.057,-0.982253,Thame Bridge
,,730507,unknown,54.33070780472915,unknown,-2.743458416810865,Victoria Bridge
Tytherton Lucas,River Marden,53132,1.104,51.455821,0.401,-2.065573,Stanley
Wincanton,River Cale,43217,1.28,51.048996,0.009,-2.41251,Wincanton
Stainfield,Witham,E2902,0.9,53.226658,0.088,-0.368683,Fiskerton Sluice
Helston,Cober,48172,1.4,50.100002,0.232,-5.279794,Helston County Bridge
Middleton,River Wansbeck,022015,1.81,55.151974,0.064,-1.914757,Middleton Bridge
Wennington,Wenning,724326,0.794,54.125115,0.16,-2.589971,Wennington
Sheffield,River Sheaf,L0405,0.64,53.351518,-0.007,-1.484238,Sheffield Centenary Works
Cheshunt,Small River Lee,5318TH,1.8,51.703222,0.366,-0.022505,"Cheshunt, Windmill Lane"
Tiverton,River Exe,45135,1.407,50.883029,0.103,-3.489856,Tiverton
North America,Batley Beck,L1376,2,53.71811,0.129,-1.638949,Batley Carlinghow  (up stream)
Westminster,Thames Tideway,0006,unknown,51.501216,unknown,-0.12385,Westminster
Little Bollington,Bollin,693515,0.714,53.380045,0.255,-2.406589,Bollington Mill
Middlesborough,River Tees,L3901,unknown,54.603816,unknown,-1.16076,Tees Dock
Northallerton,Willow Beck,L2323,1,54.339341,0.225,-1.440104,Northallerton
Radlett,Radlett Brook,2808TH,1.1,51.682315,0.3,-0.315607,Radlett
Grendon Underwood,Ray(Oxon),1471TH,0.375,51.884491,0.008,-1.012852,Grendon Underwood
Higher Wincham,Wincham Brook,681213,1.164,53.277575,0.209,-2.455855,Lostock Gralam
Sowerby Bridge,Ryburn,L1241,unknown,53.70594,unknown,-1.91329,Sowerby Bridge Scar Head Road
Wanborough,Dorcan Brook,0712TH,2.2,51.563545,0.782,-1.722961,Kestrel Drive
Lincoln,Fosdyke Canal,E1672,1.9,53.23087,1.272,-0.555797,Fosdyke Jetty
Trowlock Island,Thames,3404TH,4.85,51.423993,4.419,-0.308538,Trowlock Island
Beckfoot,Duddon,740102,1.45,54.295374,0.11,-3.237418,Duddon Hall
Silloth Docks,Irish Sea,755900,unknown,54.868007,unknown,-3.394362,Silloth Docks
