town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Kilnhurst,River Don,L0707,3.4,53.471241,0,-1.29491,Kilnhurst Bridge
Chollerford,River North Tyne,023028,0.441,55.029637,-0.198,-2.127318,Chollerford
Hackbridge,Wandle,4165TH,1.51,51.377064,1.272,-0.160112,Hackbridge
Cornwood,River Yealm,47132,1.5,50.417855,0.107,-3.959444,Cornwood
Rothley,Rothley Brook,4056,1.25,52.7031,0.15,-1.142483,Rothley
Totteridge,Dollis Brook,3804TH,1.6,51.623491,0.259,-0.185411,Whetstone
Newton Abbot,River Lemon,46148,0.741,50.533259,0.208,-3.657787,Holbeam Dam Downstream
Bromley,Ravensbourne,4317TH,1.5,51.401378,0.427,0.028483,Bishops Avenue
Marham,River Nar,E23705,0.317,52.678061,0.097,0.547924,Marham
Branston,River Trent,4019,2.038,52.780647,1.018,-1.647106,Drakelow
Lapford,River Yeo,50151,1.237,50.857808,0.317,-3.810592,Lapford
Stroud,Slad Brook,2226,0.43,51.747599,0.13,-2.214291,Slad Road
Thuxton,River Yare,E22006,1.3,52.612011,0.168,1.01713,Low Street
East Molesey,Thames,3102TH,0.295,51.406476,0.05,-0.349558,Molesey Lock
Piddlehinton,River Piddle,44220,0.38,50.767098,0.072,-2.400751,Little Puddle
Ampney St Peter,Ampney Brook,0470TH,0.462,51.710647,0.044,-1.889951,Ampney St Peter
Goodleigh,River Yeo,50114,0.726,51.099972,0.244,-4.010005,Collard Bridge
Great Chesterford,River Cam,E21778,0.333,52.06173,0.109,0.194279,Great Chesterford
Mountnessing,River Wid,E24899,0.432,51.648181,0.081,0.346098,Mountnessing
Huntingford,Shreen Water,43236,0.51,51.067397,0.306,-2.26953,Huntingford Bridge
Ravenshaw,River Aire,L1506,4,53.940697,0.041,-2.021283,Snaygill
Hellifield,Hellifield Beck,710125,0.5,54.006777,0.3,-2.221986,Hellifield
Mevagissey,Mevagissey Stream,48191,0.75,50.272818,0.06,-4.791471,Mevagissey
Wheatley,Thame,1980TH,5.242,51.740637,3.597,-1.115198,Wheatley
Ingworth,River Bure,E23186,0.68,52.819304,0.189,1.251666,Ingworth
Nether Poppleton,River Ouse,F2405,3,53.991515,0.509,-1.135153,Skelton
Newby Bridge,River Leven,735430,1.3,54.268069,0.309,-2.974952,Newby Bridge
Capernwray,Keer,733020,0.517,54.140607,0.102,-2.731323,High River Keer
Cowley,River Creedy,45117,0.884,50.759747,0.126,-3.559651,Cowley Bridge
Wakefield,Alverthorpe Beck,L1358,1.05,53.686013,0.032,-1.529962,Wakefield Grasmere Road
Helston,River Cober,48117,4.7,50.08362,3.4,-5.291203,Loe Pool
Braunton,River Caen,50189,1.205,51.111292,0.444,-4.161795,Braunton Butts Bridge
Sheepwash Bridge,Cuckmere & Pevensey Levels,E6980,1.8,50.851679,0.9,0.522713,Sheepwash Bridge
Huish Episcopi,River Yeo,52120,2.06,51.031669,0.94,-2.798991,Huish Episcopi PS
High Ongar,Roding,5420TH,1.25,51.713888,0.047,0.259177,High Ongar
Warenford,Waren Burn,021040,0.6,55.55063,0.041,-1.979851,Waren Ford
Miller Bridge,River Rothay,735022,1.063,54.429259,0.406,-2.970683,Miller Bridge House
Gloucester,Twyver,2662,0.265,51.840929,0.081,-2.202237,Abbeymead Avenue
Wansford,Nene (Wollaston-Wansford),E2105,1.38,52.584341,0.177,-0.404444,Wansford
Bekesbourne,Nail Bourne Tributary Little Stour,E4060,1.5,51.258144,0.038,1.145929,Bekesbourne
West Farleigh,Medway,E642,2.5,51.250834,0.259,0.447181,Teston
Cove,Cove Brook,2429TH,2.3,51.315486,1.121,-0.764535,Hawley Road
Thetford,Little Ouse,E24319,0.707,52.415589,0.59,0.734272,Thetford Coffee Mill Sluice
Wanstead,Roding,5480TH,1.25,51.576239,0.123,0.040575,Redbridge
Lechlade On Thames,Thames,0701TH,0.201,51.68931,-0.011,-1.678796,St Johns Lock
Brabling Green,River Ore,E24815,1.1,52.230723,0,1.344041,Framlingham
Ludlow,River Teme,2625,2.5,52.36409,0.856,-2.706474,Ludlow Teme
Stanhope,River Wear,024003,2.15,54.746839,0.101,-2.027923,Stanhope
Low Moor,Ribble,710301,3.8,53.872754,0.202,-2.414398,Low Moor
Felldownhead,River Tamar,47123,3.1,50.60014,0.03,-4.3068,Greystone Bridge
Old Woking,Wey,3085TH,2.5,51.302063,1,-0.543308,Old Woking FWS
Bampton,Shill Brook,0913TH,2.2,51.72466,0.095,-1.54887,Bampton
Laceby,Laceby Beck,E1742,0.345,53.546656,0.02,-0.159656,Laceby
Ousden,Kennett,E23956,1.7,52.206315,0.397,0.520869,Ousden
Huddersfield,River Holme,F1003,1.2,53.638515,0.254,-1.7867,Queen's Mill
Ifield,Ifield Brook,3207TH,2.05,51.11607,0.729,-0.222649,Ifield
Urmston,Mersey,692726,1.071,53.438308,0.293,-2.344072,Ashton Weir
Bishop's Nympton,River Yeo,50142,0.715,51.025705,0.205,-3.749635,Veraby
Major's Green,River Cole,4172,0.418,52.397668,0.162,-1.853805,Solihull Lodge
Frome,Somerset Frome,53142,1.2,51.242286,0.038,-2.327797,Frome
Huntington,River Foss,F2470,2.05,53.981457,0.677,-1.067671,Huntington
Wendlebury,Wendlebury Brook,1486TH,1.38,51.874246,0.925,-1.18499,Wendlebury
East Lyng,Little Saltmoor Rhyne,52158,4.05,51.05693,3.69,-2.949032,Baltmoor Wall
Ewell,Hogsmill,3350TH,0.835,51.355767,0.026,-0.255182,Ewell
Three Elms,Yazor Brook,055031_TG 329,0.408,52.069153,0.129,-2.743532,Three Elms
Chertsey,Chertsey Bourne,2936TH,1.3,51.389272,0.3,-0.506291,Guildford Street
Boultham,Witham,E1594,1.84,53.202079,0.297,-0.553771,Bracebridge
Bainbridge,River Ure,L2208,1.5,54.311836,0.051,-2.102939,Bainbridge
Chobham,Mill Bourne,2966TH,1.77,51.349005,0.915,-0.602519,Millbourne Bridge
Low Coniscliffe,River Tees,F3501,2.5,54.517925,0.537,-1.601411,Broken Scar
Winterbourne Monkton,Kennet,2204TH,0.52,51.450901,0,-1.859793,Winterborne Monkton
Liversedge,Lands Beck,L1386,0.35,53.70985,0.015,-1.690227,Liversedge Halifax Road
Pentewan,St Austell River,48145,1.42,50.292259,1.01,-4.781629,Pentewan
North Cheam,Pyl Brook,4045TH,2.6,51.374843,0.734,-0.208335,North Cheam
Bagnor,Winterbourne Stream,2264TH,0.169,51.422436,0.041,-1.350461,Bagnor
Hertford,Beane,4890TH,0.57,51.801234,0.127,-0.079759,"Hertford, Hartham Park"
Tregony,River Fal,48108,1.5,50.266031,0.252,-4.918599,Tregony
East Farleigh,Medway,E670,1.487,51.254622,1.155,0.485076,East Farleigh Gate Upstream
Ranworth,River Bure,E21226,0.94,52.678328,0.2,1.487896,Ranworth Broad
Taunton Market,River Tone,52111,1.363,51.020017,0.818,-3.100618,Taunton Market
Honiton,The Gissage,45233,0.364,50.798774,0.028,-3.194372,Honiton
Darlington,River Skerne,L3503,1.7,54.533023,0.08,-1.550268,John St Darlington
Longford,Colne,2893TH,1,51.466242,0.21,-0.501779,Stanwell Mill
Peterchurch,Dore,PCHURCH_TG 342,1.2,52.041372,0.193,-2.955501,Peterchurch
Bromley,Ravensbourne,4310TH,1.5,51.392901,0,0.019484,Hayes Lane
Ferrybridge,River Aire,L1808,2.1,53.713768,0.158,-1.268135,Ferrybridge Lock
Leeds,Wyke Beck,L17012,unknown,53.800865,0.075,-1.480337,Halton
Burstwick,Burstwick Drain,F3316,1.27,53.739921,0.176,-0.144398,Burstwick Hall Road Bridge
Alton,Wey,3012TH,0.4,51.150372,0,-0.96697,Kings Pond
Cheltenham,Hatherley Brook,2653,0.32,51.88594,0.08,-2.093645,Merestones Road
Newton-On-Rawcliffe,Pickering Beck,L2519,0.95,54.308919,0.189,-0.746353,Levisham Station
Newport Pagnell,River Ouse,E21449,1.9,52.087826,0.105,-0.717093,Newport Pagnell (Cemetery)
Catford,Ravensbourne,4370TH,1.475,51.441442,0.071,-0.026869,Catford Hill
Bourton Grounds,The Twins,E24806,0.726,51.991569,0.105,-0.939719,Bourton Grounds
Lincoln,Witham,E1608,0.66,53.229862,0.23,-0.546842,Brayford Pool
Culham,Thames,1800TH,3.006,51.647821,1.911,-1.254167,Sutton Courtenay
Callow End,River Severn,2616,5,52.158602,0.512,-2.219449,Kempsey Yacht Club
Bodiam,River Rother,E5852,2.3,50.991816,0.07,0.524378,Udiam
Hurst Green,Ribble,713056,2.5,53.833695,0.259,-2.453518,New Jumbles Rock
Edmonton,Pymmes Brook,5369TH,1.3,51.615727,0.042,-0.065253,"Edmonton, Silver Street"
Hollins,Roch,690205,0.75,53.5659,0.07,-2.293017,Blackford Bridge
Brant Broughton,Brant,E2815,0.298,53.080542,0.04,-0.614579,Brant Broughton
Bolton Percy,River Wharfe,L2013,5.75,53.85387,2.998,-1.182217,Bolton Percy
Newick,Ouse [So],E8221,1.75,50.975187,0.242,0.034071,Goldbridge
Samlesbury,Ribble,713019,4.25,53.76911,1.14,-2.624715,Samlesbury
Rickmansworth,Chess,2859TH,0.3,51.641989,0.059,-0.46125,Rickmansworth
Lancaster,Lune,724735,6,54.051851,1.607,-2.822021,Lancaster Quay
Repps,River Thurne,E24064,1.07,52.70167,0,1.571118,Repps
Cowley,Pinn,2889TH,0.7,51.533611,0.037,-0.47115,Uxbridge
Charles,River Bray,50133,0.772,51.076717,0.197,-3.866807,Newtown Bridge
Stanmore,Edgware Brook,3823TH,0.6,51.610531,0.049,-0.313052,"Stanmore, Wolverton Road"
Nottingham,Day Brook,4163,0.95,52.986245,0.033,-1.163701,Day Brook
Whittonditch,Aldbourne,2229_w2TH,0.316,51.443821,0.029,-1.584692,Ramsbury Side
Bristol,River Avon,53133,0.838,51.451028,0.151,-2.55481,Netham Weir
Colne Engaine,River Colne,E22744,1.14,51.935709,0.042,0.697218,Earls Colne
Wareham,Dorset Coast,44202,unknown,50.683502,unknown,-2.108932,Wareham
Sankey,Sankey Brook,694041,3.5,53.38377,1.209,-2.624305,Liverpool Road
West Bridgford,River Trent,4126,2.9,52.92478,0.86,-1.166968,Clifton Bridge
Pershore,River Avon,2097,3.606,52.10744,3.36,-2.07193,Pershore
Nunton,River Ebble,43120,1.083,51.036427,0.49,-1.771751,Nunton Bridge
Penberth,Penberth Stream,48173,0.675,50.050669,0.192,-5.634771,Penberth
Nunnykirk,River Font,022016,1.62,55.234068,0.299,-1.901705,Nunnykirk
Harbertonford,River Harbourne,46120,1.179,50.390648,0.654,-3.72194,Palmers Dam
Drayton,Welland (To Mkt.Harborough),E2296,2.08,52.515233,0.028,-0.794532,Ashley
Catterick Village,Brough Beck,L2361,1,54.375096,0.134,-1.633059,Catterick Village
Upton Hellions,River Creedy,45136,0.956,50.820959,0.176,-3.65782,Upton Hellions
Common Moor,River Fowey,49120,1.5,50.501243,0.266,-4.500737,Trekeivesteps
Went Green,River Went,L0902,2.428,53.660847,1.017,-0.99124,Went Outfall
Tower Pier,Thames Tideway,0007,unknown,51.506753,unknown,-0.078706,Tower Pier
St Helens,Eastern Yar,E14993,unknown,50.693632,unknown,-1.107996,Bembridge
Mansfield,River Maun,4710,1.4,53.137597,0.602,-1.198884,Field Mill
Taplow,Thames,2604TH,3.25,51.524146,2.27,-0.702103,Maidenhead
New York,West Fen Catchwater,E4413,1.1,53.081293,0.094,-0.140778,New York
Winsham,River Axe,45224,1.272,50.850029,0.805,-2.888672,Winsham
Sowerby Bridge,River Calder,L1205,1.4,53.707881,0,-1.912089,Sowerby Bridge
Brampton,Alconbury Brook,E21713,1.514,52.330595,0.09,-0.227967,Brampton Racecourse
Eathorpe,Leam,2050,1.159,52.316208,0.238,-1.431466,Eathorpe
Brierfield,Pendle Water,712113,0.603,53.811466,0.19,-2.248409,Barden Lane
,,685505,unknown,53.38293533244447,unknown,-3.108290402233765,Greasby Road
Clitheroe,Ribble,710320,0.304,53.870513,0.069,-2.388461,Waterloo Road
Maidenhead,The Cut,2694TH,1.5,51.506197,0.776,-0.710164,The Bighams
Wigton,Wiza Beck,755790,unknown,54.817425,unknown,-3.167142,"Wiza Beck Storage Basin, Wigton"
Middleton-On-Leven,River Leven,F3803,1.5,54.477707,0.213,-1.298736,Foxton Bridge
Sutton Gault,River Ouse,E23752,2.8,52.39784,0.431,0.093691,Sutton Gault
Hexham,Cockshaw Burn,023038,0.18,54.969163,0.09,-2.115677,Hexham
Horley,Mole,3230TH,2.15,51.173918,0.189,-0.18323,Horley
Lifton,River Thrushel,47142,0.975,50.647179,0.118,-4.267416,Tinhay
Idmiston,River Bourne,43158,0.6,51.137063,0,-1.72023,Idmiston
Marston Green,River Cole,4066,0.385,52.484208,0.129,-1.731944,Bacons End
Redbourn,Red,2816TH,0.65,51.793132,-0.247,-0.396615,Redbourn River Red
Hunsingore,River Nidd,F2104,0.85,53.971293,0.084,-1.349003,Hunsingore
West Bay,Dorset Coast,44105,unknown,50.711622,unknown,-2.762844,West Bay
Esher,Mole,3290TH,4.02,51.381714,1.272,-0.377493,Esher
Ewelme,Ewelme Brook,1995TH,0.138,51.619653,0.041,-1.073786,Ewelme
Pointon,Pointon Lode,E1228,0.56,52.867461,0.015,-0.333163,Pointon Lode
Welwyn,Mimram,4770TH,0.45,51.837638,-0.136,-0.221289,Fulling Mill
Albury,Law Brook,3074TH,0.15,51.210841,0.054,-0.504627,Albury
Radcot,Thames,0902TH,0.324,51.699764,0,-1.573094,Radcot Lock
Braunton,River Caen (Tidal),50124,unknown,51.100527,unknown,-4.16425,Braunton
Hamerton,Alconbury Brook,E21788,1.4,52.428112,1.015,-0.3542,Hamerton
Hessle,Fleet drain,L3211,unknown,53.729222,unknown,-1.949407,Hessle
Stokesley,River Leven,L3805,1.62,54.468269,0.01,-1.194564,Stokesley
Southstoke,Midford Brook,53124,1.44,51.348874,0.499,-2.340892,Midford
Robertsbridge,Dudwell Tributary  Rother,E6642,1.4,50.981447,0.062,0.468833,Browns Bridge
Burton-Le-Coggles,West Glen (To Kates Bridge),E2300,0.98,52.823395,0.035,-0.536693,Burton Coggles
Hammoon,River Stour,43209,2.56,50.931417,0.145,-2.257544,Hammoon
Lilbourne,River Avon,2088,0.659,52.395138,0.098,-1.173153,Lilbourne
Byton,Lugg,055014_TG 306,1.3,52.276841,0.279,-2.932709,Byton
Thorpe In Balne,Ea Beck,L0930,3.2,53.573336,0.193,-1.104443,Norwood
South Newton,River Wylye,43111,0.65,51.107453,0.135,-1.878102,South Newton
Stoke D'abernon,Mole,3286TH,2.4,51.323836,1.012,-0.41269,Downside Bridge
Mitford,River Wansbeck,022007,2,55.166192,0.221,-1.726832,Mitford
Frisby on the Wreake,River Wreake,4873,1.61,52.755673,0.476,-0.970755,Frisby on the Wreake
North Bovey,River Bovey,46111,0.418,50.639783,0.069,-3.787037,North Bovey
Cleator,Keekle,744250,2.6,54.507361,0.427,-3.525782,St Leonards
Stratton,Churn,0260TH,0.513,51.724451,0.078,-1.972293,Cirencester
Exmouth Tide,South Devon Coast,45127,unknown,50.616779,unknown,-3.424247,Exmouth
Marhamchurch,River Neet,49111,0.45,50.806416,0.051,-4.536465,Helebridge
Marsden,River Colne,L1108,0.531,53.601624,0.238,-1.927299,Marsden
Grampound Road,River Fal,48127,1.5,50.319157,0.173,-4.898882,Trenowth
Normanby,River Seven,F2540,0.547,54.229304,0.078,-0.870939,Normanby
Wootton,Glyme,1289TH,0.386,51.864215,0.05,-1.356609,Woodstock
Abbeystead,Wyre,720101,0.6,53.978695,0.1,-2.677098,Abbeystead Reservoir
Chetnole,River Wriggle,52130,0.283,50.873685,0.039,-2.566002,Chetnole
Merton,Wandle,4180_w2TH,0.262,51.419659,0.058,-0.18127,Wandle Park Side Channel
Loughborough,Wood Brook,4205,0.5,52.765357,0.026,-1.214327,Loughborough
Cockfosters,Pymmes Brook,5362TH,0.9,51.650298,0.041,-0.164059,New Barnet
Honiton,Glen Stream,45215,1.351,50.796646,0.398,-3.183491,Honiton
Cheltenham,Chelt,2139,0.449,51.885938,0.28,-2.052672,Charlton Kings
Coleshill,River Blythe,4094,1.275,52.496238,0.617,-1.688419,Castle Farm
Eaton Upon Tern,River Tern,2041,0.6,52.804654,0.169,-2.521796,Eaton On Tern
Romsey,Tadburn Lake,E13271,0.76,50.989153,0.065,-1.48518,Romsey Botley Road
Chesham,Chess,2852TH,0.6,51.702625,0.256,-0.614039,Chesham
Cheltenham,Chelt,2635,0.2,51.890714,0,-2.066105,Cox's Meadow
Cockfield,River Gaunless,024013,0.65,54.619058,0.047,-1.793998,Lowlands
Caton,Lune,724629,3.2,54.081344,0.28,-2.722026,Caton
Cawood,River Ouse,L2403,6.1,53.833727,0.835,-1.12853,Cawood
Cowley,Colne,2882TH,0.7,51.529235,0.274,-0.488741,"Iver, Clisbys Bridge"
Tebay,Lune,722242,1.352,54.420034,0.215,-2.599286,Lunes Bridge
Whitstone,River Tamar,47133,1.4,50.766235,0.077,-4.425512,Crowford Bridge
Welches Dam,Counter Drain,E62201,1.156,52.451684,0.699,0.163973,Welches Dam
,,2150TH,unknown,51.435679207984705,unknown,-1.2015919539401168,River Pang at Bucklebury
Marlborough,Og,2219TH,0.421,51.427238,0.047,-1.724504,Poulton Farm
Tidmarsh,Pang,2180TH,1.509,51.467698,1.072,-1.085791,Tidmarsh
Knowle,River Caen,50152,0.714,51.1339,-0.065,-4.153117,Stoneybridge
Tenbury,Kyre Brook,2227,2,52.309779,0.11,-2.59384,Tenbury (Kyre Brook)
Lower Shiplake,Thames,2302TH,0.317,51.501042,0.006,-0.886307,Shiplake Lock
Ripon,River Laver,F2220,1.3,54.133956,0.03,-1.540825,Ripon
White Lackington,River Piddle,44221,0.63,50.790604,0.08,-2.41643,South House
Cranford,Crane,3660TH,0.72,51.488753,0.056,-0.412558,Cranford Park
Chittlehamholt,River Mole,50115,1.134,50.973061,0.271,-3.909695,Woodleigh
Sharnford,River Soar,4145,0.47,52.522794,0.13,-1.29766,Sharnford
Leigh,Medway,E15611,unknown,51.194078,unknown,0.236345,Leigh Barrier Upstream
Burnley,Brun,712415,0.484,53.79678,0.318,-2.234811,Thompson park
Castle Rising,Babingley,E21050,0.292,52.798728,0.15,0.490559,Castle Rising
Otford,Darent,E15240,0.7,51.304292,0.072,0.18632,Otford
Pooley Bridge,River Eamont,761605,0.922,54.616994,0.147,-2.818572,Pooley Bridge
Staines,Ash (Surrey),3110TH,0.25,51.440376,0.048,-0.512035,Staines Ash
Briggswath,River Esk,F2902,0.95,54.462097,0.361,-0.654478,Briggswath
Thorverton,River Exe,45118,0.944,50.80427,0.233,-3.511305,Thorverton
Billinghay,Lower Witham,E4803,2.29,53.077892,0.121,-0.274288,Billinghay
Northolt,The Roxbourne,3626TH,0.7,51.561936,0.012,-0.379325,"Harrow, Thistledene Avenue"
Camps Heath,Tidal River Waveney,E23052,1.33,52.481995,-0.35,1.670537,Burgh St Peter
Beddington,Wandle,4139TH,0.22,51.371312,0,-0.120688,Waddon Ponds
Fossebridge,Coln,0630TH,0.23,51.799654,0.017,-1.885239,Fosse Bridge
Sherborne,River Yeo,52121,0.175,50.947873,0.02,-2.503101,Sherborne Lake
Kidderminster,River Stour (Worcs),2167,1.7,52.388952,0.835,-2.250478,Kidderminster
Graylingwell,Lavant,E10893,0.25,50.851113,0,-0.764553,Graylingwell
Grantchester,River Rhee,E21732,0.645,52.171412,0.479,0.099158,Cambridge Byron's Pool
Bibury,Coln,0660TH,0.328,51.754535,0.081,-1.825522,Bibury
Leeds,Meanwood Beck,L17022,unknown,53.827584,unknown,-1.570463,Meanwood
Harpenden,Lee (Upper),4650TH,1.12,51.830547,0.698,-0.347917,Harpenden
Appleby-In-Westmorland,Eden,760115,1.8,54.579959,0.251,-2.491631,Appleby
Kenton,Wealdstone Brook,3838TH,0.75,51.587068,0.112,-0.307266,Kenton Lane
Itchen Stoke,Candover Stream,E12551,0.5,51.087739,0.126,-1.189248,Borough Bridge weir
Ebbesbourne Wake,River Ebble,43177,0.611,51.018287,0,-2.011504,Ebbesbourne Wake
Derby,River Derwent,4085,2,52.92726,0.583,-1.475443,Derby City
Little Ponton,Upper Witham,E2862,0.7,52.890978,0.108,-0.62509,Saltersford
Naunton,River Severn,2032,4,52.049661,0.417,-2.200744,Saxons Lode
Feckenham,Bow Brook,2626,0.25,52.248746,0.074,-1.994455,Feckenham
Hamsterley,Bedburn Beck,024004,1.05,54.6847,0.096,-1.818483,Bedburn
Watton At Stone,Beane,4832TH,1.2,51.861312,0.28,-0.11775,Watton at Stone
North Hykeham,Upper Witham,E1780,2.11,53.176218,0.159,-0.5711,North Hykeham
Cockermouth,Cocker,751690,1.5,54.662671,0.905,-3.361333,South Street Footbridge
Lifton,River Thrushel,47124,2,50.658035,0.113,-4.241876,Hayne Bridge
Rotherham,River Don,L0601,1.8,53.425775,0.073,-1.361879,Rotherham
Ripley,River Amber,4048,2,53.072731,0.223,-1.441438,Wingfield Park
Covington,River Kym,E21324,0.7,52.314257,0.105,-0.444982,Covington
Lympstone,Exe Estuary,50180,unknown,50.648044,unknown,-3.431911,Lympstone
Bosbury,River Leadon,2255,0.8,52.08804,0.03,-2.446839,Bosbury
Little Thetford,River Ouse,E22035,1.744,52.364009,1.457,0.2603,Soham Lode
Flixton,Mersey,692727,3.3,53.439969,0.233,-2.388645,Flixton Bridge
Weare Giffard,River Torridge,50143,unknown,50.977311,unknown,-4.178073,Weare Giffard
Skipton,Eller Beck,L1535,1.1,53.959571,0.01,-2.022817,Skipton Morrisons
Stansted Mountfitchet,Stansted Brook,5129TH,0.67,51.89464,0.058,0.186331,"Stansted Mountfitchet, Gypsy Lane"
Littlebourne,Little Stour Trib  Great Stour,E3401,0.176,51.273726,0.015,1.168504,Littlebourne
Chalgrove,Chalgrove Brook,1984TH,1.5,51.663282,0.9,-1.075268,Chalgrove
Great Somerford,River Avon,53143,0.741,51.547559,0.157,-2.049871,Great Somerford
Teddington,Thames,3401TH,0.217,51.429566,0.009,-0.318416,Teddington Lock
Northmoor Green,Northmoor Main Drain,52159,3.395,51.073454,3.098,-2.964814,Northmoor Drain
Hurley,Thames,2497TH,0.155,51.55135,0.023,-0.808421,Hurley Lock
Harlow,Canons Brook,5189TH,1.4,51.773908,0.053,0.073644,"Harlow, Elizabeth way"
Ponsanooth,Kennal,48183,0.49,50.196411,0.044,-5.136703,Ponsanooth
Harford,River Erme,46130,0.765,50.421783,0.235,-3.918076,Harford
Hythe End,Thames,2702TH,0.273,51.438166,0.08,-0.537257,Bell Weir
Gwills,River Gannel,49130,0.746,50.393206,0.044,-5.056217,Gwills
Thornhill,River Derwent,4001,0.818,53.362304,0.302,-1.703631,Yorkshire Bridge
Dubwath,Derwent,751110,2.21,54.677997,0.44,-3.24495,Ouse Bridge
Redhill,Redhill Brook,3245TH,2,51.239844,0.493,-0.166451,Redhill
Ramsbottom,Irwell,690155,1.8,53.650068,0.255,-2.31342,Ramsbottom Weir
Scorton,Wyre,720120,0.672,53.937868,0.248,-2.770317,Six Arches
Malmesbury,Sherston Avon,531158,0.442,51.580872,0.093,-2.094819,St Johns Weir
Kirkby On Bain,River Bain,E1187,1.1,53.144196,0.003,-0.140051,Kirkby On Bain
Newtown,River Severn,2195,10.2,51.717437,2,-2.482837,Sharpness
Darwen,Darwen,713205,0.65,53.69442,0.034,-2.466407,Hardman Way
Sheffield,River Don,L0504,2.1,53.445208,0.88,-1.549184,Wharncliffe Side
Lamarsh,River Stour,E21227,1.65,51.987468,0.154,0.752212,Lamarsh
Ilchester,River Yeo,52112,1.496,51.003358,0.096,-2.683234,Ilchester
East Budleigh,Budleigh Brook,45234,0.651,50.656145,0.458,-3.324921,Budleigh Brook
Leeds,Wyke Beck,L17013,0.12,53.812894,0.052,-1.481054,Gipton South Parkway
Cheltenham,Chelt,2654,1.3,51.889683,0.24,-2.062296,Cox's Flume
Byfleet,Wey,3089TH,2.3,51.346115,0.238,-0.465049,Brooklands
North Harrow,Yeading Brook,3609TH,0.9,51.57755,0.064,-0.380271,"Harrow, Village Way"
Keighley,River Worth,F1403,1,53.864265,0.22,-1.904159,Keighley
Reedham,River Yare,E24807,1.33,52.559314,-0.45,1.570041,Reedham
Aldington,Badsey Brook,2023,1.112,52.100775,0.141,-1.910164,Offenham
Stroud,Frome (MI),2617,0.5,51.723887,0.033,-2.130978,Chalford
East Ayton,River Derwent,F2708,0.377,54.253794,0.064,-0.481916,West Ayton
Charmouth,River Char,44115,1.13,50.739791,0.047,-2.891657,Charmouth
Littleborough,Roch,690206,unknown,53.645347,unknown,-2.092047,Littleborough
Hemel Hempstead,Gade,2841TH,0.53,51.757619,0.066,-0.475391,"Hemel Hempstead, Bury Mill,"
Liftondown,River Tamar,47115,3,50.640271,0.226,-4.330759,Polson Bridge
Edgbaston,River Rea,4039,0.416,52.460104,0.087,-1.897221,Calthorpe Park
